Workload,Timestamp,CPU,Mem,Set
sort_run,1590500627,141.00,16.81,set5
sort_run,1590500628,136.00,16.81,set5
sort_run,1590500629,146.00,16.82,set5
sort_run,1590500630,509.00,11.41,set5
sort_run,1590500631,139.00,11.41,set5
sort_run,1590500632,140.00,11.41,set5
sort_run,1590500633,139.00,11.41,set5
sort_run,1590500634,140.00,11.41,set5
sort_run,1590500635,142.00,11.41,set5
sort_run,1590500636,133.00,11.41,set5
sort_run,1590500637,95.00,11.41,set5
sort_run,1590500638,100.00,11.41,set5
sort_run,1590500639,148.00,11.41,set5
sort_run,1590500640,152.00,11.41,set5
sort_run,1590500641,133.00,11.41,set5
sort_run,1590500642,131.00,11.41,set5
sort_run,1590500643,132.00,11.41,set5
sort_run,1590500644,134.00,11.41,set5
sort_run,1590500645,133.00,11.41,set5
sort_run,1590500646,135.00,11.41,set5
sort_run,1590500647,131.00,11.41,set5
sort_run,1590500648,126.00,11.46,set5
sort_run,1590500649,136.00,11.73,set5
sort_run,1590500650,146.00,12.03,set5
sort_run,1590500651,130.00,12.28,set5
sort_run,1590500652,112.00,12.52,set5
sort_run,1590500653,0.00,12.52,set5
sort_run,1590500654,0.00,12.52,set5
sort_run,1590500655,2.00,12.52,set5
sort_run,1590500656,0.00,12.52,set5
sort_run,1590500657,0.00,12.52,set5
sort_run,1590500658,1.00,12.52,set5
sort_run,1590500659,0.00,12.52,set5
sort_run,1590500660,94.00,12.63,set5
sort_run,1590500661,153.00,12.93,set5
sort_run,1590500662,132.00,13.21,set5
sort_run,1590500663,198.00,13.27,set5
sort_run,1590500664,120.00,13.27,set5
sort_run,1590500665,0.00,13.27,set5
sort_run,1590500666,0.00,13.27,set5
sort_run,1590500667,0.00,13.27,set5
sort_run,1590500668,0.00,13.27,set5
sort_run,1590500669,0.00,13.27,set5
sort_run,1590500670,1.00,13.27,set5
sort_run,1590500671,0.00,13.27,set5
sort_run,1590500672,0.00,13.27,set5
sort_run,1590500673,123.00,13.27,set5
sort_run,1590500674,134.00,13.27,set5
sort_run,1590500675,137.00,13.27,set5
sort_run,1590500676,134.00,13.27,set5
sort_run,1590500677,12.00,13.27,set5
sort_run,1590500678,0.00,13.27,set5
sort_run,1590500679,0.00,13.27,set5
sort_run,1590500680,0.00,13.27,set5
sort_run,1590500681,0.00,13.27,set5
sort_run,1590500682,0.00,13.27,set5
sort_run,1590500683,24.00,13.27,set5
sort_run,1590500684,144.00,13.27,set5
sort_run,1590500685,140.00,13.27,set5
sort_run,1590500686,130.00,13.27,set5
sort_run,1590500687,121.00,13.27,set5
sort_run,1590500688,132.00,13.27,set5
sort_run,1590500689,138.00,13.27,set5
sort_run,1590500690,128.00,13.27,set5
sort_run,1590500691,64.00,13.27,set5
sort_run,1590500692,102.00,13.27,set5
sort_run,1590500693,0.00,13.27,set5
sort_run,1590500694,1.00,13.27,set5
sort_run,1590500695,61.00,13.27,set5
grep_run,1590499807,0.00,0.00,set5
grep_run,1590499808,0.00,0.00,set5
grep_run,1590499809,0.00,0.00,set5
grep_run,1590499810,0.00,0.00,set5
grep_run,1590499811,0.00,0.00,set5
grep_run,1590499812,0.00,0.00,set5
grep_run,1590499813,0.00,0.00,set5
grep_run,1590499814,0.00,0.00,set5
grep_run,1590499815,0.00,0.00,set5
grep_run,1590499816,0.00,0.00,set5
grep_run,1590499817,0.00,0.00,set5
grep_run,1590499818,0.00,0.00,set5
grep_run,1590499819,0.00,0.00,set5
grep_run,1590499820,0.00,0.00,set5
grep_run,1590499821,0.00,0.00,set5
grep_run,1590499822,0.00,0.00,set5
grep_run,1590499823,0.00,0.00,set5
grep_run,1590499824,0.00,0.00,set5
grep_run,1590499825,0.00,0.00,set5
grep_run,1590499826,0.00,0.00,set5
grep_run,1590499827,0.00,0.00,set5
grep_run,1590499828,0.00,0.00,set5
grep_run,1590499829,0.00,0.00,set5
grep_run,1590499830,0.00,0.00,set5
grep_run,1590499831,0.00,0.00,set5
grep_run,1590499832,0.00,0.00,set5
grep_run,1590499833,0.00,0.00,set5
grep_run,1590499834,0.00,0.00,set5
grep_run,1590499835,0.00,0.00,set5
grep_run,1590499836,0.00,0.00,set5
grep_run,1590499837,0.00,0.00,set5
grep_run,1590499838,0.00,0.00,set5
grep_run,1590499839,0.00,0.00,set5
grep_run,1590499840,0.00,0.00,set5
grep_run,1590499841,0.00,0.00,set5
grep_run,1590499842,0.00,0.00,set5
grep_run,1590499843,0.00,0.00,set5
grep_run,1590499844,0.00,0.00,set5
grep_run,1590499845,0.00,0.00,set5
grep_run,1590499846,0.00,0.00,set5
grep_run,1590499847,0.00,0.00,set5
grep_run,1590499848,0.00,0.00,set5
grep_run,1590499849,0.00,0.00,set5
grep_run,1590499850,0.00,0.00,set5
grep_run,1590499851,0.00,0.00,set5
grep_run,1590499852,0.00,0.00,set5
