Workload,CPU,Mem,Set
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,2.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,3.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,4.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,13.00,0.44,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
